"cod","lon","lat","month_n","CCSM_tasmin","CNRM_tasmin","FGOALS_tasmin","GISS_tasmin","IPSL_tasmin","MIROC_tasmin","MPI_tasmin","MRI_tasmin"
83595,-41.07,-19.49,"10",18.3475818634033,15.5467920303345,18.3043384552002,19.2930660247803,12.2665958404541,18.7850227355957,18.2006893157959,18.929105758667
83595,-41.07,-19.49,"11",20.0630855560303,16.5930957794189,18.7165393829346,20.1807441711426,13.9124622344971,20.1010799407959,19.1193008422852,19.9731922149658
83595,-41.07,-19.49,"12",21.0893592834473,18.2382659912109,19.0596046447754,20.6796455383301,15.1250476837158,20.9182548522949,19.9221038818359,20.957368850708
83595,-41.07,-19.49,"2",21.781925201416,19.3294010162354,19.756290435791,20.7251930236816,16.261157989502,21.6986808776855,20.687292098999,21.5090274810791
83595,-41.07,-19.49,"3",21.5829811096191,18.5875129699707,19.2874202728271,20.4655723571777,15.632287979126,21.2966861724854,20.2575874328613,21.1655597686768
83595,-41.07,-19.49,"4",20.2031955718994,16.1704559326172,18.101053237915,19.5390338897705,14.2283620834351,19.9876403808594,18.8622951507568,19.5668449401855
83595,-41.07,-19.49,"5",18.0437908172607,13.3999900817871,16.5162410736084,18.0358695983887,11.4469604492188,18.1221656799316,16.9981479644775,17.5438671112061
83595,-41.07,-19.49,"6",16.6260757446289,10.9647016525269,15.4590578079224,16.2334632873535,9.65331172943115,16.6860160827637,15.6122102737427,15.7282886505127
83595,-41.07,-19.49,"7",15.8386964797974,10.4523105621338,15.1914777755737,15.7031059265137,8.75882053375244,16.0426826477051,14.9458827972412,15.1062984466553
83595,-41.07,-19.49,"8",15.7551078796387,11.6324787139893,16.0340766906738,16.2974891662598,8.81231594085693,16.2363166809082,15.3726148605347,15.6287364959717
83595,-41.07,-19.49,"9",16.8675003051758,14.048056602478,17.4654312133789,17.9038734436035,10.0386123657227,17.4981651306152,16.5886096954346,17.074333190918
83639,-41.9,-20.51,"1",21.646671295166,17.8047752380371,19.2233982086182,20.480152130127,17.1038951873779,21.5681247711182,20.5122680664062,21.18798828125
83639,-41.9,-20.51,"10",18.3612155914307,14.0180072784424,17.5100040435791,18.7146091461182,12.7721319198608,18.3063793182373,17.852180480957,18.5791702270508
83639,-41.9,-20.51,"11",20.0398349761963,15.1402626037598,18.0229263305664,19.560604095459,14.3501672744751,19.7443103790283,18.7145214080811,19.4955081939697
